city_name,temp,rain_1h,rain_3h,wind_speed,wind_gust
Ambato,0.0,54.13,99.97,0.0,97.19
Cuenca,0.0,64.12,99.97,0.0,99.53
Esmeraldas,0.0,70.98,99.96,0.0,99.94
Guayaquil,0.0,66.83,100.0,0.0,99.05
Ibarra,0.0,66.39,99.97,0.0,99.92
Lago Agrio,0.0,58.85,99.99,0.0,99.94
Loja,0.0,70.2,99.98,0.0,98.58
Machala,0.0,66.71,100.0,0.0,99.05
Manta,0.0,89.53,99.98,0.0,96.67
Puerto Morona,0.0,63.19,99.98,0.0,99.92
Puyo,0.0,60.79,99.97,0.0,99.55
Quevedo,0.0,38.31,99.98,0.0,99.15
Quito,0.0,56.88,99.96,0.0,98.82
Santa Cruz Island,0.0,88.81,99.98,0.0,99.92
Santo Domingo,0.0,52.98,99.97,0.0,99.81
Zamora,0.0,57.83,99.97,0.0,98.95
