status,city,var,block_rule,dt_col,n_rows,start_dt,end_dt,n_blocks,c,xi,loc,scale,tail_type,endpoint,RL10,RL20,RL50,RL100
ok,Ambato,temp,ME,fecha_local,402756,1978-12-31,2024-10-31,551,0.2304242443761647,-0.2304242443761647,20.898221409549308,1.793814763348823,Weibull,28.683056586964245,26.09738075516332,26.48013067517261,26.89994110559106,27.163303195483085
ok,Cuenca,temp,ME,fecha_local,402742,1978-12-31,2024-10-31,551,0.26150944854310276,-0.26150944854310276,24.242063588033794,1.181070279851637,Weibull,28.75842154921457,27.46560267543593,27.680523595598313,27.910471511090485,28.05112635894067
ok,Esmeraldas,temp,ME,fecha_local,401736,1978-12-31,2024-10-31,551,0.23277955690774055,-0.23277955690774055,31.336649207554828,1.0115641357999994,Weibull,35.68223757982293,34.25505217532322,34.46830365377791,34.7017635983844,34.847941356551075
ok,Guayaquil,temp,ME,fecha_local,404863,1978-12-31,2024-10-31,551,0.359462806231553,-0.359462806231553,30.566780679243447,1.6844484261829828,Weibull,35.25279658125564,34.413204812344055,34.598865248932235,34.78258654148007,34.88634407523447
ok,Ibarra,temp,ME,fecha_local,401583,1978-12-31,2024-10-31,551,0.29594698080251136,-0.29594698080251136,24.387300068821737,1.2135987974691766,Weibull,28.48803052458883,27.492461870587256,27.67760497154085,27.870322945289846,27.98494664358226
ok,Lago Agrio,temp,ME,fecha_local,401840,1978-12-31,2024-10-31,551,0.22391761228064838,-0.22391761228064838,32.28457842088334,1.528900908742426,Weibull,39.11254024653093,36.77298992621399,37.11026944044842,37.482136424910095,37.716658252143844
ok,Loja,temp,ME,fecha_local,402203,1978-12-31,2024-10-31,551,0.23323767757010788,-0.23323767757010788,23.19975678674981,1.4767692745754846,Weibull,29.53136362643629,27.45647846426907,27.767071916187078,28.106973796425812,28.31971951120394
ok,Machala,temp,ME,fecha_local,402243,1978-12-31,2024-10-31,551,0.3422106581692691,-0.3422106581692691,28.29231256964466,1.5453256338802084,Weibull,32.80802707762424,31.929348767009948,32.11539438614858,32.30204230683197,32.40894724356307
ok,Manta,temp,ME,fecha_local,401766,1978-12-31,2024-10-31,551,0.28654304561279786,-0.28654304561279786,29.875770043204746,1.457414805860757,Weibull,34.96196853301261,33.670336805747965,33.903641143326496,34.148319411997704,34.294966431780885
ok,Puerto Morona,temp,ME,fecha_local,401496,1978-12-31,2024-10-31,551,0.20560485000326595,-0.20560485000326595,31.98846131342238,1.6165024546438258,Weibull,39.850641872967294,36.910105079136265,37.30177948301158,37.73999244250405,38.02049630878028
ok,Puyo,temp,ME,fecha_local,403356,1978-12-31,2024-10-31,551,0.1375075205944961,-0.1375075205944961,27.452859279517046,1.479535065694182,Weibull,38.212525800283345,32.638801925537514,33.1469770941299,33.7474182800869,34.15358119675191
ok,Quevedo,temp,ME,fecha_local,402121,1978-12-31,2024-10-31,551,0.17683079380559524,-0.17683079380559524,28.496176738167463,1.6304088587388135,Weibull,37.71634039660388,33.75906329274178,34.21685441581956,34.74097724187811,35.08439681449567
ok,Quito,temp,ME,fecha_local,411112,1978-12-31,2024-10-31,551,0.13731810263341326,-0.13731810263341326,19.62946837027113,1.673381562570952,Weibull,31.815637058009557,25.497234177754017,26.072547973530977,26.752421015918387,27.21238541992893
ok,Santa Cruz Island,temp,ME,fecha_local,401496,1978-12-31,2024-10-31,551,0.08445892532755978,-0.08445892532755978,21.147641542188744,1.7931756111818773,Weibull,42.37897504811895,28.203904610837547,29.01228927777583,30.00901800950284,30.712807159713627
ok,Santo Domingo,temp,ME,fecha_local,403049,1978-12-31,2024-10-31,551,0.3178275209187188,-0.3178275209187188,27.166246601710167,1.232858028771222,Weibull,31.04526256989158,30.197102775656813,30.365256179985085,30.537262527729904,30.63775980637084
ok,Zamora,temp,ME,fecha_local,401496,1978-12-31,2024-10-31,551,0.38047881898777336,-0.38047881898777336,31.818877109487076,1.5412784250042844,Weibull,35.86976863902006,35.213385991440255,35.3659485260843,35.514415052428014,35.59683551627887
